longitude,latitude,ndvi,ndbi,glcm_contrast,glcm_homogeneity
27.214761995422958,38.39094990121779,0.16893357,-0.037257303,403.7013888888889,0.07519421420288899
27.21464722056194,38.39085998859755,0.1738277,0.011207055,275.97023809523813,0.08615257330346814
27.214761728871057,38.39085977886756,0.3162138,0.110573046,381.01190476190476,0.07980630028053404
27.214646954153345,38.39076986624525,0.38444525,-0.07191781,239.43551587301596,0.08794149897947756
27.214761462320343,38.39076965651593,0.56679,-0.0792752,335.20833333333337,0.08255399455303453
27.214532179719868,38.39067995350835,0.54419345,-0.015376597,230.3085317460318,0.10205691997371708
27.21464668774594,38.39067974389155,0.68708134,-0.040424906,213.85119047619045,0.09024080566526482
27.214761195770816,38.39067953416291,0.7011041,-0.1403648,285.1914682539682,0.08646819344656069
27.214417405570632,38.39059004065685,0.47200653,-0.048617177,221.33630952380952,0.08302162395445788
27.214531913455776,38.39058983115259,0.6988005,-0.0783982,207.9027777777778,0.08146544143585426
27.214646421339726,38.39058962153648,0.7124944,-0.2051686,181.3234126984127,0.08820079845543582
27.214760929222486,38.3905894118085,0.70561796,-0.28716788,258.44642857142844,0.0822449826029745
27.21487543710406,38.39058920196868,0.72180784,-0.16094674,293.77083333333326,0.08139977264298583
27.21430263170563,38.39050012769077,0.34150514,-0.16513988,198.7757936507937,0.09845384953194432
27.214417139449843,38.390499918299035,0.6513501,-0.03227717,191.47718253968256,0.09356907692009778
27.214531647192867,38.390499708795446,0.6651376,-0.14270724,162.47123015873015,0.10224539925106094
27.214646154934698,38.390499499179995,0.6424288,-0.26940903,126.7926587301587,0.11633051594032995
27.214760662675342,38.3904992894527,0.700157,-0.26407936,243.04662698412687,0.11539266029679754
27.2148751704148,38.39049907961355,0.78669095,-0.16044997,275.20833333333326,0.10354623274483156
27.214302365728145,38.390410005330885,0.4667697,-0.083642595,195.09325396825392,0.09366684548841578
27.21441687333024,38.39040979593982,0.74361444,-0.10003041,162.41269841269838,0.10823723962937012
27.21453138093115,38.390409586436895,0.58870435,-0.2353397,130.32638888888886,0.13573647955112406
27.214645888530868,38.39040937682213,0.63066953,-0.2928082,98.56349206349203,0.1511316260082411
27.214760396129396,38.390409167095505,0.80074143,-0.2212445,241.52480158730154,0.14758743738288457
27.21487490372673,38.39040895725703,0.7987946,-0.1942136,248.31746031746027,0.13783547102206525
27.214187592290678,38.39032009224815,0.47040254,-0.074394464,201.96230158730157,0.12392404002024898
27.214302099751848,38.390319882969614,0.68195415,-0.02490887,180.70734126984127,0.1093446301753889
27.214416607211827,38.39031967357922,0.6798419,-0.17891817,140.4097222222222,0.13714244665577907
27.21453111467062,38.39031946407697,0.60294116,-0.23671997,107.39781746031746,0.17610203202126787
27.214645622128224,38.390319254462874,0.7247098,-0.25338957,79.12499999999999,0.19078221990051528
27.214760129584633,38.39031904473692,0.829827,-0.22465582,227.94047619047615,0.17989275940160562
27.214874637039856,38.39031883489912,0.76692766,-0.18872017,229.110119047619,0.17667156188163935
27.214072819137446,38.390230179050846,0.6026694,0.004464286,201.72321428571422,0.1225572212452522
27.214187326457687,38.39022996988483,0.66982925,-0.14620645,190.28075396825395,0.12293275369939981
27.214301833776737,38.39022976060696,0.72202164,-0.18546133,153.14384920634916,0.12790558833720683
27.214416341094605,38.39022955121723,0.61372113,-0.2736904,109.24900793650792,0.15567858815924723
27.214530848411282,38.39022934171566,0.67941415,-0.25166768,83.55853174603173,0.19782647841255943
27.21464535572677,38.390229132102235,0.759542,-0.24175084,68.34424603174604,0.2096525397494718
27.214759863041067,38.390228922376956,0.78581625,-0.24983345,211.01785714285705,0.19695029750792692
27.21487437035417,38.39022871253982,0.7679458,-0.20381187,210.95535714285708,0.19405531808604792
27.214072553447753,38.39014005668545,0.7246377,-0.028077753,170.98908730158723,0.13131263987121847
27.21418706062588,38.3901398475201,0.7104377,-0.15118161,152.61805555555551,0.14020129049888447
27.214301567802817,38.3901396382429,0.69121337,-0.21308523,114.84325396825395,0.1517741681337933
27.21441607497857,38.39013942885385,0.7167019,-0.24387255,71.8125,0.1818825998556905
27.214530582153134,38.390139219352946,0.7901008,-0.22560401,59.4861111111111,0.21380729364254572
27.214645089326506,38.390139009740196,0.76997113,-0.24047218,43.93452380952381,0.22960704072349453
27.21475959649869,38.39013880001559,0.7877591,-0.23323119,197.67956349206344,0.2102303293389387
27.214874103669683,38.390138590179134,0.78547007,-0.23463356,205.30456349206344,0.20722567938208897
27.21395778072205,38.39005014337148,0.55204,-0.16209476,179.68551587301587,0.15085136183574976
27.214072287759247,38.39004993431866,0.6496472,-0.19303513,136.94345238095235,0.16344751518102146
27.21418679479526,38.39004972515398,0.69888794,-0.2206515,115.77182539682536,0.1647568477290621
27.214301301830087,38.39004951587745,0.6707218,-0.23798077,78.14682539682538,0.18265979041670483
27.214415808863727,38.390049306489075,0.68107176,-0.2388535,44.210317460317455,0.22053638220281313
27.214530315896173,38.39004909698885,0.7841389,-0.22803618,34.37301587301587,0.24896089368200824
27.214644822927433,38.39004888737677,0.7820214,-0.22236422,24.887896825396826,0.27141689608603914
27.214759329957502,38.390048677652835,0.77993816,-0.24667285,165.13095238095235,0.24616672403756565
27.214873836986378,38.39004846781705,0.7616959,-0.25097325,194.59325396825392,0.23801758793919195
27.213843008280573,38.38996022994293,0.58237547,0.002716571,183.85615079365076,0.14764705002084677
27.213957515176848,38.38996002100263,0.7283127,-0.14855877,151.81448412698413,0.1596160364975948
27.21407202207193,38.389959811950476,0.70483005,-0.17292307,107.97718253968252,0.17286939972255735
27.214186528965833,38.38995960278647,0.71227455,-0.21095209,87.54960317460315,0.1638039430976344
27.214301035858544,38.38995939351061,0.65847456,-0.21364342,58.77777777777777,0.18383103738158624
27.214415542750068,38.3899591841229,0.6961573,-0.22728743,26.51587301587302,0.22719071002952018
27.214530049640405,38.38995897462335,0.7855478,-0.23151125,23.583333333333336,0.2513276555359747
27.21464455652955,38.38995876501195,0.75885254,-0.23435043,22.429563492063494,0.2717499079435213
27.214759063417507,38.389958555288686,0.74302495,-0.32219437,125.70138888888886,0.24748702768721514
27.21487357030427,38.38995834545358,0.77186567,-0.2972973,171.33730158730157,0.2451812740265027
27.21372823612332,38.38987031639981,0.6505126,-0.15789473,199.77777777777777,0.13809931806305295
27.213842742878665,38.38987010757202,0.66754615,-0.19095477,165.66468253968253,0.15888405006666098
27.213957249632827,38.38986989863239,0.63308406,-0.19356914,122.84027777777777,0.17230501708047877
27.214071756385803,38.389869689580905,0.7229564,-0.16788322,80.2797619047619,0.18244363513136752
27.21418626313759,38.389869480417566,0.7070839,-0.20453848,67.66369047619048,0.17457897732557598
27.214300769888187,38.38986927114239,0.65088284,-0.2265951,47.72321428571428,0.19152561370715795
27.2144152766376,38.389869061755356,0.7311741,-0.23548107,24.76587301587302,0.2379778673769284
27.21452978338582,38.38986885225647,0.7163874,-0.22699386,23.102182539682538,0.2523466911449631
27.214644290132856,38.38986864264574,0.7408155,-0.21876767,22.676587301587304,0.26654056100059753
27.2147587968787,38.38986843292316,0.7186478,-0.2621463,93.60615079365078,0.24643764910751415
27.21487330362335,38.38986822308872,0.77869415,-0.24572805,147.76984126984127,0.24146454615580495
27.21372797086471,38.38978019402684,0.6605467,-0.22479688,168.25595238095244,0.14313349616862736
27.213842477477947,38.38977998519972,0.64028215,-0.23809524,131.59226190476193,0.16847787726395574
27.213956984089993,38.38977977626076,0.63404256,-0.15895373,89.25496031746032,0.18393695539242258
27.214071490700857,38.38977956720995,0.7688766,-0.21007875,62.39583333333334,0.1951551887212593
27.214185997310533,38.389779358047285,0.7293596,-0.24680604,56.183531746031754,0.1794891467939705
27.21430050391902,38.389779148772774,0.65230423,-0.2592804,38.411706349206355,0.1913206191158282
27.21441501052632,38.38977893938642,0.7326121,-0.257784,28.764880952380956,0.2286978553105476
27.214529517132434,38.3897787298882,0.67435056,-0.267239,27.152777777777782,0.24035140205637462
27.214644023737353,38.38977852027814,0.71826744,-0.24542725,24.296626984126984,0.25845043490822306
27.214758530341083,38.38977831055623,0.7425668,-0.25236678,71.28968253968254,0.25053532173178494
27.214873036943626,38.389778100722474,0.71950424,-0.25434214,127.53968253968254,0.23907479534693352
27.213613199134983,38.38969028036706,0.748,-0.10948905,160.50297619047618,0.14275004260705587
27.21372770560729,38.38969007165247,0.66821444,-0.2482628,125.34325396825398,0.16771658178593768
27.213842212078415,38.38968986282603,0.69237834,-0.21529838,87.88789682539682,0.1983362268330006
27.21395671854835,38.389689653887736,0.7072682,-0.14564413,46.25595238095238,0.20993665754210364
27.2140712250171,38.38968944483759,0.780446,-0.24088463,38.82837301587303,0.2170508591580031
27.214185731484665,38.389689235675604,0.71092916,-0.26740506,33.22420634920635,0.20366009517286077
27.21430023795104,38.38968902640176,0.65316373,-0.2799378,31.874007936507937,0.20820465311400302
27.21441474441623,38.38968881701607,0.70533806,-0.2570829,26.21726190476191,0.24357750931807642
