longitude,latitude,ndvi,ndbi,glcm_contrast,glcm_homogeneity,fakulte
27.20439282511019,38.36843768336512,0.41010848,-0.054721214,270.7142857142858,0.09277317491407432,Guzel Sanatlar
27.20450729815461,38.36843748374981,0.1765552,-0.015360745,284.99107142857144,0.09522315863055872,Guzel Sanatlar
27.20439257163231,38.36834756060807,0.35226825,-0.11190399,225.66865079365084,0.10627994357724133,Guzel Sanatlar
27.204507044534772,38.36834736099339,0.09256845,-0.02743295,232.30357142857147,0.11299041886393729,Guzel Sanatlar
27.204621517436102,38.36834716126695,0.066508316,0.0047498415,232.50694444444446,0.1225066739175802,Guzel Sanatlar
27.204735990336292,38.368346961428756,0.06864564,0.023728814,227.02281746031747,0.14454767867273055,Guzel Sanatlar
27.204850463235356,38.36834676147879,0.103581056,0.02616378,228.69047619047623,0.1450235150671299,Guzel Sanatlar
27.20427784539394,38.36825763735188,0.3836421,0.03009186,216.12996031746033,0.0788026599571352,Guzel Sanatlar
27.20439231815557,38.368257437849614,0.12473868,0.0037037036,198.20337301587304,0.10581773904883447,Guzel Sanatlar
27.20450679091607,38.368257238235586,0.017363343,0.029298972,186.37400793650795,0.11827034458707394,Guzel Sanatlar
27.204621263675435,38.36825703850978,0.02960103,0.023646072,177.8392857142857,0.12733217795773155,Guzel Sanatlar
27.204735736433665,38.368256838672224,0.06592644,0.0455181,175.83928571428572,0.14930500740558364,Guzel Sanatlar
27.204850209190766,38.368256638722904,0.056843553,0.044706613,178.8204365079365,0.13648979808367206,Guzel Sanatlar
27.20496468194673,38.36825643866182,0.046667814,0.031085605,216.11111111111111,0.14510191951573378,Guzel Sanatlar
27.20507915470156,38.36825623848896,0.08945455,0.03820225,255.4206349206349,0.1278706455435071,Guzel Sanatlar
27.204277592060286,38.3681675145914,0.29393098,-0.001535155,210.7728174603175,0.10569587528075751,Guzel Sanatlar
27.204392064679958,38.36816731508977,0.04539559,0.0043236567,182.25694444444443,0.1454168407946323,Guzel Sanatlar
27.204506537298496,38.36816711547638,-8.282259E-4,0.053209856,142.58035714285714,0.16170340280089868,Guzel Sanatlar
27.204621009915904,38.368166915751225,0.03570237,0.038860504,90.62797619047618,0.18026652839989196,Guzel Sanatlar
27.20473548253218,38.368166715914306,0.11930586,0.04163442,59.889880952380935,0.19909114478205636,Guzel Sanatlar
27.204849955147314,38.36816651596562,0.14486529,0.068762906,51.62400793650795,0.17451450695917228,Guzel Sanatlar
27.204964427761322,38.36816631590518,0.06304985,0.0544506,84.25297619047618,0.17971169670390197,Guzel Sanatlar
27.20507890037419,38.36816611573297,0.06656805,0.057208236,126.95436507936506,0.15252165447051919,Guzel Sanatlar
27.20519337298592,38.368165915449,0.16816327,0.009517217,163.3323412698413,0.1351613582854271,Guzel Sanatlar
27.205307845596515,38.36816571505326,0.116641335,-0.0037568307,199.55456349206355,0.14972502749877703,Guzel Sanatlar
27.204162866248925,38.36807759121874,0.31380078,0.098196946,233.00992063492063,0.11591369893055727,Guzel Sanatlar
27.204277338727767,38.368077391829516,0.1371319,-0.0026117684,188.2559523809524,0.10717890152436967,Guzel Sanatlar
27.20439181120548,38.368077192328535,0.0056551946,0.02107581,161.76884920634922,0.14111207939678588,Guzel Sanatlar
27.204506283682058,38.368076992715785,-0.006692981,0.066903114,133.26984126984127,0.15348120116638672,Guzel Sanatlar
27.204620756157503,38.36807679299127,0.06019485,0.041220892,87.98908730158728,0.1733502271122982,Guzel Sanatlar
27.20473522863182,38.368076593154996,0.13973002,0.026032737,52.75892857142857,0.19717708572121428,Guzel Sanatlar
27.204849701105,38.368076393206955,0.17642586,0.030853564,40.426587301587304,0.16893563329684422,Guzel Sanatlar
27.204964173577043,38.368076193147154,0.110781774,-0.011983123,45.02281746031746,0.18852990705608047,Guzel Sanatlar
27.20507864604795,38.368075992975584,0.034234915,0.034092918,66.859126984127,0.17531971966141405,Guzel Sanatlar
27.205193118517723,38.36807579269225,0.11740891,0.023656866,95.69146825396825,0.16218220507551856,Guzel Sanatlar
27.20530759098636,38.36807559229716,0.18004085,0.06755822,128.58730158730157,0.17410274481866947,Guzel Sanatlar
27.20542206345386,38.368075391790306,0.13579117,0.045419555,171.0109126984127,0.1715724892634673,Guzel Sanatlar
27.20553653592022,38.368075191171684,0.11098288,-0.030692363,210.25694444444449,0.15809764681012373,Guzel Sanatlar
27.204162613059495,38.367987468454835,0.25699335,0.11804575,181.734126984127,0.1180369479885187,Guzel Sanatlar
27.20427708539638,38.367987269066255,0.04852459,0.0074487897,144.9801587301587,0.11731404986513838,Guzel Sanatlar
27.204391557732134,38.367987069565906,0.016329197,0.02107581,125.21825396825395,0.13488832801305115,Guzel Sanatlar
27.204506030066753,38.3679868699538,0.006007646,0.089920945,97.22619047619047,0.14443379467958514,Guzel Sanatlar
27.204620502400243,38.36798667022993,0.09431921,0.04335488,68.26289682539681,0.1611584274994317,Guzel Sanatlar
27.204734974732595,38.36798647039429,0.1226147,0.08685601,43.338293650793645,0.17205455887308235,Guzel Sanatlar
27.20484944706382,38.3679862704469,0.0862378,0.09371884,43.50892857142856,0.14521798206031666,Guzel Sanatlar
27.2049639193939,38.36798607038774,0.054094665,0.021105878,43.56051587301587,0.16960664616324234,Guzel Sanatlar
27.205078391722854,38.36798587021681,0.008977447,0.11909769,47.46527777777779,0.17518320251505012,Guzel Sanatlar
27.205192864050666,38.36798566993412,0.03305785,0.29873773,51.62996031746032,0.17591634101490802,Guzel Sanatlar
27.205307336377345,38.367985469539676,-0.05372168,0.22584061,65.6855158730159,0.19211825469745944,Guzel Sanatlar
27.205421808702884,38.36798526903346,0.016696636,0.15697551,99.05753968253968,0.20660945742173886,Guzel Sanatlar
27.205536281027285,38.367985068415486,0.06746928,0.12138728,139.04166666666669,0.19759521833555715,Guzel Sanatlar
27.20565075335055,38.36798486768575,0.123313166,0.099589705,174.85119047619045,0.18129655752035587,Guzel Sanatlar
27.20576522567267,38.367984666844244,0.13717532,0.025391305,206.0763888888889,0.16767958767666874,Guzel Sanatlar
27.20587969799366,38.367984465890984,0.12861085,-0.020462485,241.03174603174602,0.16827807851717497,Guzel Sanatlar
27.204047887675138,38.36789754496573,0.35486725,0.024374701,159.7678571428571,0.08316886683355487,Guzel Sanatlar
27.204162359871198,38.36789734568954,0.20387265,-0.0027915633,129.2470238095238,0.13640884653200705,Guzel Sanatlar
27.20427683206612,38.3678971463016,0.001690903,-0.028472222,111.77182539682536,0.12876338384262287,Guzel Sanatlar
27.204391304259918,38.36789694680189,0.0031304348,-0.0151355155,100.08432539682538,0.13626560282978248,Guzel Sanatlar
27.204505776452578,38.36789674719043,0.0059443912,0.059182208,85.32440476190477,0.1423313971702886,Guzel Sanatlar
27.20462024864411,38.3678965474672,0.12,-0.016486261,65.31944444444444,0.14529544120504512,Guzel Sanatlar
27.20473472083451,38.367896347632204,0.11092114,0.07112223,57.6686507936508,0.1517823216733035,Guzel Sanatlar
27.204849193023772,38.36789614768545,0.038125664,0.10305484,58.923611111111114,0.12410845824576802,Guzel Sanatlar
27.2049636652119,38.367895947626934,0.0444092,-0.053178728,58.268849206349216,0.1372595268930208,Guzel Sanatlar
27.20507813739889,38.36789574745665,0.0027288515,0.07906129,57.359126984126995,0.15896443756811568,Guzel Sanatlar
27.205192609584742,38.367895547174605,-0.0014705883,0.24239889,49.12301587301587,0.17608251368179778,Guzel Sanatlar
27.205307081769465,38.367895346780806,-0.035906255,-0.0033564556,42.70932539682539,0.20386584222424373,Guzel Sanatlar
27.205421553953048,38.36789514627523,-0.025594564,0.11753846,39.704365079365076,0.23026871878227093,Guzel Sanatlar
27.20553602613549,38.367894945657895,-0.03343465,0.2628651,48.6140873015873,0.23082396731890786,Guzel Sanatlar
27.205650498316796,38.367894744928805,-0.037411526,0.33643124,66.1111111111111,0.227219227795668,Guzel Sanatlar
27.20576497049696,38.36789454408795,-0.043728724,0.22330923,94.07242063492063,0.20929641301301277,Guzel Sanatlar
27.205879442675986,38.367894343135326,0.047782406,0.21598826,133.7986111111111,0.20007143410629313,Guzel Sanatlar
27.205993914853874,38.36789414207095,0.04191202,0.048703354,170.04166666666663,0.1838382359170099,Guzel Sanatlar
27.206108387030618,38.36789394089481,0.08321965,0.057566766,187.1299603174603,0.1631015253868297,Guzel Sanatlar
27.206222859206218,38.367893739606906,0.11997074,0.07576215,196.15079365079362,0.14462760902757538,Guzel Sanatlar
27.20404763462993,38.367807422198396,0.25717777,0.020311013,126.90773809523812,0.09241182976869448,Guzel Sanatlar
27.20416210668403,38.367807222922856,0.124060154,0.036261078,102.76388888888891,0.14257005688487026,Guzel Sanatlar
27.204276578736998,38.367807023535555,0.037567083,0.034763314,93.625,0.13766132311226284,Guzel Sanatlar
27.204391050788836,38.36780682403649,0.077504724,0.043445833,81.49603174603176,0.14600566962352468,Guzel Sanatlar
27.20450552283954,38.36780662442566,0.078318216,0.060513556,77.92063492063494,0.14278864917627265,Guzel Sanatlar
27.204619994889114,38.367806424703076,0.18169886,-0.032437745,61.67559523809525,0.14329799247295608,Guzel Sanatlar
27.204734466937552,38.36780622486872,0.23278153,-0.0031598203,62.374007936507944,0.145779002823683,Guzel Sanatlar
27.204848938984856,38.3678060249226,0.19198921,-0.016086672,60.08531746031746,0.12334008559690593,Guzel Sanatlar
27.204963411031027,38.36780582486473,0.060708642,0.003815176,59.084325396825406,0.1385978302478935,Guzel Sanatlar
27.20507788307606,38.367805624695094,0.011282051,0.23108916,58.73313492063493,0.15508915097221154,Guzel Sanatlar
27.20519235511996,38.36780542441369,-0.035426166,0.23653525,49.89484126984127,0.1751856135201624,Guzel Sanatlar
27.205306827162723,38.367805224020536,-0.04003836,0.053204067,43.603174603174594,0.1953680814157014,Guzel Sanatlar
27.205421299204342,38.36780502351561,-0.010664479,0.20185308,35.98015873015872,0.22501358261697518,Guzel Sanatlar
27.205535771244833,38.36780482289892,0.006527821,0.2544324,39.668650793650784,0.21855856503058985,Guzel Sanatlar
27.20565024328418,38.36780462217047,-0.0069779926,0.21709691,39.2361111111111,0.21897607561962315,Guzel Sanatlar
27.20576471532239,38.36780442133026,-0.009970089,0.18305224,35.82242063492063,0.20510825284774736,Guzel Sanatlar
27.205879187359457,38.36780422037828,-0.04358502,0.36068937,35.70833333333333,0.20041550025958274,Guzel Sanatlar
27.205993659395386,38.367804019314555,-0.004074402,0.08242206,36.93551587301587,0.19754893327164602,Guzel Sanatlar
27.20610813143017,38.36780381813906,0.092129126,0.08410646,40.93055555555556,0.18505873382299315,Guzel Sanatlar
27.206222603463814,38.367803616851795,0.11539798,0.052413996,52.61904761904762,0.16535837760011263,Guzel Sanatlar
27.206337075496318,38.36780341545278,0.14582501,0.0137551585,137.139880952381,0.1355755442375822,Guzel Sanatlar
27.20404738158585,38.36771729942967,0.15690528,-0.05107571,100.3402777777778,0.10333463743866281,Guzel Sanatlar
27.204161853497993,38.36771710015478,0.0723104,0.08588611,79.79464285714288,0.16039519082112935,Guzel Sanatlar
27.204276325409005,38.36771690076811,0.021021022,0.25648236,76.65476190476193,0.15404674508695945,Guzel Sanatlar
27.204390797318887,38.367716701269686,-0.004537205,0.29407978,72.67063492063494,0.15782589660551716,Guzel Sanatlar
27.204505269227635,38.3677165016595,0.08344371,0.14300682,74.18154761904762,0.15174754450494204,Guzel Sanatlar
27.20461974113525,38.36771630193755,0.13854267,-0.042352423,65.19444444444444,0.15426206945142074,Guzel Sanatlar
27.204734213041732,38.36771610210384,0.14252107,-0.1389486,66.27281746031746,0.15765923653847635,Guzel Sanatlar
27.204848684947077,38.36771590215837,0.1672556,-0.14876352,62.30555555555556,0.13296806801412492,Guzel Sanatlar
27.204963156851292,38.36771570210114,0.13472623,0.09793814,55.581349206349216,0.1455216088899045,Guzel Sanatlar
27.20507762875437,38.36771550193214,0.0,0.35572842,48.71031746031747,0.17189570090801504,Guzel Sanatlar
27.205192100656312,38.36771530165139,-0.006045949,0.18004988,34.989087301587304,0.195844986620071,Guzel Sanatlar
27.205306572557117,38.36771510125887,-0.0058604158,0.11814745,28.607142857142854,0.21089075880323288,Guzel Sanatlar
27.205421044456784,38.367714900754585,-0.020268163,0.29614696,22.832341269841272,0.23466612541247844,Guzel Sanatlar
27.20553551635531,38.36771470013854,-0.036033597,0.23844178,27.53968253968253,0.2363598074465863,Guzel Sanatlar
27.205649988252706,38.36771449941074,-0.051230334,0.113790505,30.90376984126983,0.2278090623413636,Guzel Sanatlar
27.205764460148956,38.36771429857117,-0.0038206314,0.08816492,34.75892857142857,0.21110581171791346,Guzel Sanatlar
27.20587893204407,38.367714097619846,-0.0026064292,0.17126873,35.422619047619044,0.20322914102022407,Guzel Sanatlar
27.205993403938038,38.36771389655676,0.02329686,0.056315105,36.87599206349206,0.20073627567258293,Guzel Sanatlar
27.206107875830867,38.3677136953819,0.10034602,0.035440613,50.578373015873034,0.1858392369766707,Guzel Sanatlar
27.206222347722555,38.36771349409529,0.13885485,-0.0013856813,68.1527777777778,0.1573513881377764,Guzel Sanatlar
